,index,Cotacao,Cresc.5anos,DY,Div.Brut/Pat.,EV/EBIT,EV/EBITDA,Liq.2meses,Liq.Corr.,Mrg.Ebit,Mrg.Liq.,P/ACL,P/Ativo,P/Cap.Giro,P/EBIT,P/L,P/VP,PSR,Pat.Liq,ROE,ROIC,change,closingPrice,eps,high,lastPrice,lastYearHigh,lastYearLow,low,marketCap,name,pe,priceOpen,shares,volume,volumeAvg,sector,subSector,segment
0,AALR3,11.33,-0.0106,0.0,0.66,88.35,13.41,15845400.0,1.11,0.022,-0.0612,-1.78,0.522,23.13,62.22,-20.43,1.12,1.37,1201020000.0,-0.0546,0.0095,-1.68,11.33,-0.56,11.47,11.14,13.3,8.35,11.12,1317781832,Centro de Imagem Diagnosticos SA,0.0,11.28,118292816,600600,1809990,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
1,ABCB4,17.73,-0.1628,0.0393,0.0,0.0,0.0,11785000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03,0.91,0.0,4391950000.0,0.0828,0.0,-1.69,17.73,1.65,17.72,17.43,18.08,11.5,17.35,1962268940,Banco ABC Brasil SA,10.52,17.72,112644643,142600,784600,Financeiro e Outros,Intermediários Financeiros,Bancos
2,ABEV3,18.73,0.0754,0.0262,0.06,19.03,14.18,437579000.0,1.16,0.2362,0.2123,-23.16,2.21,56.92,20.0,22.83,3.59,4.723,82044100000.0,0.1574,0.1558,-2.99,18.73,0.81,18.67,18.17,19.86,12.04,18.15,286144478403,Ambev SA,22.37,18.57,15739527854,15105500,25078490,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
3,ADHM3,1.56,0.4348,0.0,0.0,-5.69,-5.81,2064.0,0.0,-135.485,-188.606,-1.27,105.126,-1.43,-5.69,-4.09,-1.29,770.924,-19776000.0,0.3147,5.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,#N/A,0.0,0.0,0,0,0,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
4,AERI3,10.48,0.0,0.0,1.48,0.0,0.0,42732300.0,2.65,0.0,0.0,74.62,2.891,6.8,0.0,0.0,8.11,0.0,989867000.0,0.0,0.0,-0.76,10.48,0.19,10.57,10.4,13.9,5.61,10.34,7968619067,Aeris Industria e Cm de Es pr Gr de ErSA,55.53,10.48,766213456,1588200,4418210,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
5,AFLT3,10.39,0.0793,0.1119,0.0,31.49,31.26,20075.6,13.16,0.5497,0.5263,15.73,3.1,11.91,33.24,34.72,3.39,18.271,193540000.0,0.0976,0.1129,0.48,10.39,0.3,10.47,10.44,14.0,8.45,10.44,658604137,Afluente Transmissao de Energia Eltrc SA,34.88,10.47,63084700,200,2126,Utilidade Pública,Energia Elétrica,Energia Elétrica
6,AGRO3,30.79,0.635,0.0139,0.39,9.33,11.16,38489500.0,1.61,0.3517,0.2136,35.8,1.102,6.85,8.56,11.07,1.82,3.01,1731490000.0,0.1644,0.157,-0.52,30.79,3.7,31.16,30.63,36.48,18.88,30.56,3139902597,Brasilagro Companhia Braslr Propds Agrcl,8.27,30.72,102377008,197200,1024183,Consumo não Cíclico,Agropecuária,Agricultura
7,AHEB3,25.0,0.5345,0.0,0.0,-5.57,-7.22,10400.0,0.52,-0.1932,-0.2558,-0.87,0.759,-3.78,-6.01,-4.54,-8.53,1.161,-25048000.0,1.8786,-0.1415,0.0,25.0,-5.51,25.0,25.0,42.0,16.21,24.99,215784100,Sao Paulo Turismo SA,0.0,24.99,8407877,300,476,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
8,AHEB5,20.01,0.5345,0.0,0.0,-4.37,-5.66,758.83,0.52,-0.1932,-0.2558,-0.7,0.607,-3.03,-4.81,-3.63,-6.83,0.93,-25048000.0,1.8786,-0.1415,0.0,20.01,-5.51,0.0,20.01,60.0,13.51,0.0,215784100,Sao Paulo Turismo SA Preference Shares Class A,0.0,0.0,45022,0,30,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
9,AHEB6,51.5,0.5345,0.0,0.0,-11.94,-15.48,949.24,0.52,-0.1932,-0.2558,-1.8,1.563,-7.79,-12.39,-9.35,-17.57,2.392,-25048000.0,1.8786,-0.1415,0.0,51.5,-5.51,51.5,51.5,51.5,15.0,51.5,215784100,Sao Paulo Turismo SA Preference Shares Class B,0.0,51.5,90995,100,20,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
10,ALLD3,26.57,0.0,0.0,0.37,8.13,6.8,5767880.0,1.37,0.063,0.0408,15.07,0.645,3.26,7.65,11.81,2.1,0.482,1149360000.0,0.1781,0.1895,3.84,26.57,2.26,27.96,27.59,28.39,16.2,25.11,2509950601,Allied Tecnologia SA,12.1,26.57,90973209,483200,337626,Consumo Cíclico,Comércio,Eletrodomésticos
11,ALPA3,42.97,-0.0258,0.0,0.08,38.16,30.62,202479.0,2.19,0.1831,0.0653,25.15,5.214,17.12,39.22,102.96,8.22,7.182,3074270000.0,0.0798,0.1834,1.23,42.97,0.42,43.5,43.5,43.5,23.36,42.61,27412215983,Alpargatas SA,102.27,42.61,302010689,4500,3736,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
